time,wx (rad/s),wy (rad/s),wz (rad/s)
1.327799,-0.02,-0.00,-0.00
1.329697,-0.02,-0.00,-0.00
1.331531,-0.01,-0.00,-0.00
1.333708,-0.02,-0.00,-0.00
1.337929,-0.02,-0.00,-0.01
1.341728,-0.02,-0.00,-0.01
1.342524,-0.02,-0.00,-0.01
1.343744,-0.02,-0.00,-0.01
1.347712,-0.02,-0.00,-0.01
1.350394,-0.01,-0.00,-0.01
1.352676,-0.01,-0.00,-0.01
1.353668,-0.02,-0.00,-0.01
1.358582,-0.02,-0.00,-0.01
1.359621,-0.02,-0.00,-0.01
1.363365,-0.01,-0.00,-0.02
1.364735,-0.01,-0.00,-0.02
1.366169,-0.02,-0.00,-0.02
1.368617,-0.02,-0.00,-0.02
1.371241,-0.02,-0.00,-0.02
1.376385,-0.01,-0.00,-0.02
1.377335,-0.01,-0.00,-0.02
1.378557,-0.01,-0.00,-0.02
1.381620,-0.02,-0.00,-0.02
1.383737,-0.01,-0.00,-0.02
1.387756,-0.02,0.00,-0.02
1.408442,-0.02,0.00,-0.02
1.410523,-0.02,0.00,-0.03
1.410918,-0.02,0.00,-0.03
1.411131,-0.02,0.00,-0.03
1.411347,-0.02,0.00,-0.03
1.411555,-0.02,0.00,-0.03
1.411755,-0.02,0.00,-0.03
1.411954,-0.02,0.00,-0.03
1.413630,-0.02,-0.00,-0.03
1.414028,-0.01,0.00,-0.03
1.414274,-0.01,-0.00,-0.03
1.417166,-0.01,0.00,-0.03
1.418162,-0.02,0.00,-0.03
1.422151,-0.01,0.00,-0.02
1.428567,-0.02,0.00,-0.03
1.429183,-0.01,0.00,-0.03
1.429330,-0.02,0.00,-0.03
1.430569,-0.01,0.00,-0.03
1.434532,-0.02,0.00,-0.03
1.437666,-0.01,0.00,-0.02
1.437791,-0.01,0.00,-0.02
1.441033,-0.01,0.01,-0.02
1.443362,-0.01,0.01,-0.02
1.446278,-0.02,0.01,-0.03
1.449641,-0.02,0.01,-0.02
1.449918,-0.01,0.01,-0.03
1.453110,-0.01,0.01,-0.03
1.455637,-0.01,0.01,-0.03
1.459669,-0.01,0.01,-0.03
1.462705,-0.02,0.01,-0.03
1.462947,-0.01,0.01,-0.03
1.465839,-0.01,0.01,-0.03
1.468404,-0.01,0.01,-0.03
1.471554,-0.02,0.01,-0.03
1.474946,-0.01,0.01,-0.03
1.475326,-0.02,0.01,-0.03
1.477483,-0.01,0.01,-0.03
1.480796,-0.02,0.01,-0.03
1.484264,-0.01,0.01,-0.03
1.485734,-0.02,0.01,-0.03
1.488272,-0.02,0.01,-0.03
1.491532,-0.02,0.01,-0.03
1.493446,-0.02,0.01,-0.03
