time,wx (rad/s),wy (rad/s),wz (rad/s)
1.688925,0.46,0.01,-0.40
1.691263,0.46,0.02,-0.41
1.694638,0.45,0.02,-0.41
1.697424,0.44,0.03,-0.42
1.699024,0.43,0.04,-0.42
1.700836,0.42,0.05,-0.43
1.704152,0.40,0.05,-0.44
1.706798,0.39,0.06,-0.44
1.709653,0.38,0.06,-0.45
1.710567,0.37,0.07,-0.46
1.713393,0.36,0.06,-0.47
1.715450,0.35,0.05,-0.47
1.719441,0.34,0.04,-0.48
1.722784,0.33,0.02,-0.49
1.723299,0.33,-0.01,-0.49
1.725763,0.32,-0.04,-0.50
1.728139,0.32,-0.08,-0.50
1.731476,0.31,-0.11,-0.50
1.733887,0.31,-0.14,-0.51
1.735255,0.31,-0.17,-0.51
1.746829,0.31,-0.19,-0.52
1.748217,0.31,-0.21,-0.52
1.748795,0.31,-0.22,-0.52
1.749588,0.32,-0.23,-0.53
1.750158,0.32,-0.23,-0.53
1.759823,0.33,-0.23,-0.53
1.762036,0.33,-0.22,-0.53
1.762624,0.35,-0.22,-0.53
1.763068,0.35,-0.21,-0.53
1.763529,0.36,-0.21,-0.53
1.764458,0.37,-0.21,-0.53
1.774968,0.38,-0.21,-0.53
1.775696,0.37,-0.22,-0.53
1.775833,0.39,-0.22,-0.53
1.775969,0.39,-0.23,-0.54
1.776102,0.39,-0.24,-0.54
1.778730,0.38,-0.24,-0.55
1.781381,0.38,-0.24,-0.56
1.783093,0.38,-0.24,-0.57
1.785277,0.38,-0.24,-0.58
1.787245,0.37,-0.23,-0.59
1.791525,0.37,-0.22,-0.60
1.793411,0.37,-0.20,-0.61
1.794622,0.38,-0.18,-0.62
1.797654,0.38,-0.17,-0.63
1.800314,0.39,-0.16,-0.64
1.804745,0.39,-0.15,-0.65
1.807490,0.39,-0.14,-0.66
1.807754,0.39,-0.14,-0.67
1.809491,0.40,-0.15,-0.68
1.813027,0.39,-0.15,-0.70
1.816586,0.39,-0.15,-0.71
1.819186,0.39,-0.16,-0.72
1.821120,0.40,-0.17,-0.72
1.822554,0.39,-0.18,-0.73
